target,neighbor,num_matched_features,matched_features,num_missed_features,missed_features
A_01_057,A_03_084,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,B_01_005,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,B_01_089,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,B_02_066,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,B_02_074,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,C_01_007,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,C_01_015,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,C_01_067,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,C_01_073,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,C_01_077,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,C_02_078,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,C_02_080,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,C_03_067,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,D_01_019,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,D_01_023,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
A_01_057,D_02_007,2,"MinorLocationM2.2.0, SecondMinorLocationM2.2.0",0,
