Code,EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
B_03_048,trouble,4.760,2.300,6,5
G_03_7,truck,2.588,1.550,6,5
J_02_070,truck_2(c),3.483,2.208,0,5
D_03_038,TRUE,5.462,2.160,2,2
E_03_68,true_business,5.033,1.677,2,2
E_03_15,truth,5.233,1.750,6,1
B_02_034,TRY,3.542,1.633,7,5
G_01_35,tty,2.333,3.069,6,2
G_03_42,tube,3.192,5.450,6,5
E_01_67,tube_top,4.200,5.320,6,5
J_03_087,tuesday,5.552,1.318,0,2
F_03_90,turban,2.000,5.750,6,2
A_02_078,TURKEY,2.500,1.967,6,2
K_01_036,TURKEY_2,0,0,0,0
J_01_065,"turn(take_turn,alternate)",4.700,3.200,0,2
J_02_086,turn_around,2.414,6.583,0,2
E_01_56,turn_key,3.914,6.440,7,2
A_02_009,TURTLE,3.630,3.733,6,3
C_02_038,TV,6.067,2.481,6,2
F_01_32,twin,3.400,2.273,6,2
J_02_089,twins_2(t),3.040,1.375,0,2
J_01_102,twirl,3.367,6.160,0,5
C_02_005,TWO,5.286,6.963,1,2
G_01_21,two_more,2.783,4.500,1,2
H_02_90,two_of_us,5.357,3.435,0,2
J_03_066,two_weeks,4.724,2.727,0,3
B_01_056,TYPE,4.520,1.222,6,5
F_03_59,type_keyboard,4.296,6.406,7,5
F_02_84,udder,2.435,5.484,6,5
C_01_019,UGLY,4.100,3.633,2,2
A_02_022,UMBRELLA,3.556,3.933,6,1
H_03_82,unaware,4.500,2.375,0,2
H_02_20,uncertain(ambivalent),4.393,3.826,0,5
D_02_011,UNCLE,4.407,1.032,6,2
E_02_87,under,4.406,3.968,5,3
J_03_079,undergraduate,3.630,1.545,0,3
C_01_006,UNDERSTAND,6.100,4.633,7,2
A_03_023,UNDERWEAR,3.080,5.714,6,5
K_02_112,UNDERWEAR_2,0,0,0,0
F_02_31,unicorn,2.926,6.200,6,2
J_02_003,union_station,1.714,1.958,0,5
F_01_15,unique,5.370,1.727,2,3
K_01_127,UNIVERSE,0,0,0,0
C_02_063,UNIVERSITY,5.333,1.444,6,3
H_02_18,until,3.643,2.130,0,1
E_01_69,up,4.344,6.840,5,2
C_01_028,UPLOAD,3.500,3.433,7,5
F_01_75,upset,4.815,2.848,2,2
H_03_47,upset_2,4.607,1.833,0,2
H_03_55,us,3.071,2.458,0,2
D_03_043,USE,5.346,1.667,7,1
B_03_016,VACATION,4.920,1.167,6,5
D_03_084,VACUUM,3.692,4.520,7,2
F_02_65,vagina,4.000,2.871,6,5
G_02_17,vain,2.652,2.125,2,5
H_03_51,validate,3.107,3.917,0,3
G_02_90,valley,3.630,5.152,6,5
H_03_85,value,3.714,1.583,0,5
K_03_123,VAMPIRE,0,0,0,0
F_01_22,vanilla(adddisambig.mouthing),2.870,1.606,6,2
H_02_98,vanish,6.667,3.348,0,5
E_02_28,vase,1.579,3.000,6,5
C_01_018,VEGETABLE,4.931,1.200,6,2
A_03_005,VERB,2.522,2.190,6,2
G_02_101,very,4.667,2.250,5,5
G_02_39,very_interested,4.120,2.903,7,5
J_03_050,vest,2.885,4.545,0,5
J_02_035,vibrate,3.276,4.917,0,5
B_03_006,VIDEOCAMERA,4.560,1.567,6,3
K_03_011,videocamera_2,0,0,0,0
J_01_104,videocamera_2(eye),1.400,2.360,0,2
H_01_91,videogame,5.607,5.407,0,5
B_01_039,VIDEOPHONE,5.800,1.593,6,5
E_02_61,view,4.594,3.571,7,2
K_01_121,VILLAGE,0,0,0,0
A_03_083,VIOLIN,1.720,7.000,6,2
J_01_025,vision,5.000,4.640,0,5
H_03_80,visit,5.071,2.000,0,5
J_01_097,visitor,4.300,1.760,0,5
H_01_27,visualize,4.893,4.964,0,5
E_01_43,vitamins(withdisambig.mouthing),3.406,1.560,6,2
J_03_027,vlog,5.103,1.273,0,5
H_01_82,vocabulary,3.714,2.107,0,3
C_03_061,VOICE,4.333,4.800,6,2
A_02_006,VOLLEYBALL,3.111,3.567,6,5
H_02_62,volunteer,4.786,1.565,0,2
D_02_072,VOMIT,3.444,6.419,7,5
B_02_040,VOTE,3.760,3.000,6,3
G_02_89,W.H.A.T,6.222,4.733,5,2
H_01_36,wade,3.393,3.333,0,5
K_03_024,WADE_2,0,0,0,0
B_02_016,WAIT,5.880,2.000,7,5
A_01_061,WAITER,4.484,1.568,6,5
D_02_057,WALK,6.111,4.806,7,5
K_01_024,WALK-TIGHTROPE-CL,0,0,0,0
J_03_067,walk_2,5.759,4.909,0,2
G_01_102,walk_backwards,4.148,4.258,7,5
E_01_89,wall,4.686,5.231,6,5
F_01_81,wallet,2.962,3.625,6,5
J_03_047,wallet_2,2.308,4.091,0,5
E_02_78,walrus,1.731,3.533,6,5
E_03_16,wand,2.100,4.844,6,2
A_01_019,WANDER,3.548,3.487,7,2
C_03_013,WANT,5.900,4.583,7,5
E_01_25,want_2,6.771,3.231,7,5
B_03_075,WAR,3.680,2.433,6,5
B_02_047,WARM,4.400,1.367,2,2
B_01_033,WARN,5.360,2.444,7,1
E_01_33,wash,5.800,5.692,7,5
K_02_024,WASH_3,0,0,0,0
F_01_70,wash_dishes,5.111,5.375,7,3
G_01_11,wash_face,4.296,6.300,7,5
J_01_078,wash_face_2(b),3.586,6.800,0,5
F_01_56,wash_hands,4.480,6.576,7,1
C_02_057,WASH_MACHINE,5.567,2.889,6,5
C_01_030,WASTE,3.724,2.300,7,3
G_02_78,watch,5.667,2.290,7,2
A_02_031,WATER,6.963,1.600,6,2
F_03_22,water_ski,2.852,1.515,7,2
H_01_19,waterdrop,2.280,3.375,0,2
A_03_079,WAVE,3.480,6.571,6,5
C_02_073,WAY,4.033,4.667,6,5
G_03_19,we,6.037,3.211,5,2
F_03_27,we_will_see,6.481,4.273,7,2
C_02_065,WEAK,3.967,2.481,2,3
B_02_032,WEAR,4.478,2.167,7,5
C_03_072,WEATHER,4.433,3.028,6,5
H_02_81,weave,1.429,3.696,0,5
D_03_015,WEDDING,4.615,1.682,6,5
B_03_056,WEDNESDAY,5.560,2.667,4,2
B_02_079,WEEK,6.040,1.600,6,3
H_01_9,weekend_2,2.708,1.926,0,3
D_03_077,WEIGH,4.654,2.560,7,6
E_02_37,weight,4.906,3.167,6,1
H_02_11,weird,4.250,2.043,0,2
J_02_054,welcome,4.233,2.542,0,2
D_01_009,WELL,5.000,4.206,3,5
D_03_053,WEST,4.154,2.720,6,2
B_02_065,WET,4.520,1.700,2,5
G_03_13,whale,3.000,3.350,6,2
D_02_084,WHAT_1,6.407,6.581,5,5
D_02_094,WHAT_2,3.815,0,5,3
C_02_054,WHAT_FOR,5.867,3.148,5,2
B_02_025,WHATEVER,3.880,2.000,3,5
H_03_69,wheel,3.857,5.000,0,5
F_03_70,wheelbarrow_1,2.000,4.813,6,5
G_01_46,wheelchair,4.667,3.500,6,5
C_03_086,WHEN,5.600,1.914,5,1
B_02_035,WHERE,6.240,1.700,5,2
B_01_088,WHICH,5.800,3.259,5,5
H_02_32,while,4.714,1.783,0,5
A_03_077,WHIP,2.696,6.381,7,2
H_03_75,whisper,4.321,4.250,0,2
A_02_046,WHISTLE,2.926,4.100,6,2
K_03_055,WHISTLE_3,0,0,0,0
E_03_46,white,4.667,1.167,2,2
J_02_043,white_person,4.600,2.000,0,2
C_01_041,WHO,6.233,3.367,5,2
J_02_049,whole,4.067,5.667,0,5
D_01_067,WHY,6.269,3.306,5,2
H_02_34,why_not,5.185,2.000,0,2
J_02_052,wide,3.448,6.417,0,5
D_03_025,WIFE,5.154,1.583,6,2
F_03_25,will,6.185,1.970,7,2
J_01_095,will_go,3.136,2.280,0,2
B_02_029,WIN,4.960,2.100,7,1
H_02_68,wind,4.714,4.870,0,5
A_02_048,WINDMILL,2.286,2.533,6,3
K_01_118,WINDMILL_2,0,0,0,0
K_02_051,WINDMILL_3,0,0,0,0
A_03_042,WINDOW,5.480,4.190,6,1
E_02_75,window_open,4.188,4.800,7,1
G_02_80,windy,4.654,6.059,2,5
D_01_015,WINE,5.333,1.176,6,2
D_03_094,WINK,3.000,5.750,7,2
E_03_22,winter,6.000,3.781,6,5
G_02_23,wise,4.926,2.419,2,2
C_01_053,WISH,4.867,2.700,6,2
A_03_018,WITCH,1.739,2.762,6,2
K_03_022,WITCH_2,0,0,0,0
C_02_074,WITH,5.033,4.593,5,5
H_03_21,without,4.643,2.833,0,5
A_01_049,WOLF,3.000,2.737,6,2
C_02_028,WOMAN,5.933,1.259,6,2
K_01_101,WOMAN_2,0,0,0,0
H_02_19,woman_2(nose)lady,3.444,1.435,0,2
B_02_076,WONDER,5.360,4.667,7,2
C_03_031,wood,4.200,3.278,6,1
E_03_75,word,5.207,1.548,6,3
B_03_059,work,6.739,1.733,7,1
E_02_92,work_out,5.563,4.613,7,5
J_02_055,workshop,4.300,1.833,0,1
B_03_023,world,5.320,2.500,6,1
B_03_014,WORM,2.125,4.600,6,3
C_02_015,WORRY,4.100,3.593,7,5
H_01_11,worse,4.222,1.815,0,5
F_01_2,wow,5.704,2.788,5,2
E_02_50,wrap,3.594,5.067,7,5
F_03_91,wrap_up,3.308,5.188,7,5
K_02_062,WRAP_UP_2,0,0,0,0
J_01_033,wrestle,3.467,3.120,0,5
H_01_29,wring,2.708,5.778,0,5
B_01_063,WRISTWATCH,3.840,5.704,6,2
K_03_044,WRISTWATCH_2,0,0,0,0
K_01_054,WRISTWATCH_3,0,0,0,0
D_01_051,WRITE,5.593,6.571,7,3
G_02_87,write_on_wall,3.385,5.719,7,2
B_01_055,WRONG_1,6.080,1.889,2,2
C_03_050,WRONG_2,5.667,1.389,2,2
F_02_79,yawn,5.963,6.871,7,2
K_02_048,YAWN_2,0,0,0,0
K_03_009,YAWN_3,0,0,0,0
K_01_110,YAWN_4,0,0,0,0
J_01_030,yay,6.067,6.440,0,5
D_01_058,YEAH,5.704,3.229,5,2
B_02_015,YEAR,5.440,1.267,6,5
D_01_020,YELLOW,4.481,1.000,2,2
G_03_74,Yes,6.885,2.800,5,2
D_01_024,YESTERDAY,5.889,1.086,3,2
D_02_065,you,6.889,6.839,5,2
D_03_013,YOUNG,4.962,1.375,2,2
J_03_041,youngster,2.625,1.364,0,5
F_01_52,your,6.222,2.576,5,2
E_02_81,yourself,5.250,2.828,5,3
H_03_16,yoyo,1.808,6.250,0,2
E_01_11,yucky_1,4.429,5.115,2,5
G_02_3,zebra,2.556,2.813,6,5
D_03_036,ZERO,4.192,6.565,1,2
D_01_034,ZIPPER,3.148,6.394,6,1
E_03_42,zoo,3.533,2.100,6,2
B_02_056,ZOOM_IN,3.958,4.667,7,5
D_01_057,ZOOM_OFF,4.333,3.742,7,3
