Code,EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
F_01_60,bow_3,2.481,3.061,7,3
K_02_016,BOW_4,0,0,0,2
C_03_049,bowl,4.933,4.056,6,5
A_02_003,bowling,2.346,2.600,6,2
K_01_067,BOWLING_2,0,0,0,2
A_01_044,bowtie,1.903,5.077,6,5
C_03_025,box,4.833,4.889,6,5
F_03_50,boxing,3.115,6.750,7,5
B_02_090,boy,6.160,1.333,6,2
G_02_58,boyfriend,5.407,1.719,6,2
A_03_028,bra,3.240,6.190,6,5
K_01_090,BRA_2,0,0,0,2
K_02_039,BRA_3,0,0,0,2
A_03_024,bracelet,3.480,6.571,6,2
B_03_011,brag,3.720,3.733,7,5
K_03_125,BRAIDS,0,0,0,5
F_01_78,braille,2.148,4.061,6,3
J_01_103,brainstorm,4.167,3.680,0,2
E_01_30,brainwash,3.743,4.692,7,2
B_03_050,brave,4.522,2.533,2,5
A_02_058,bread,5.259,1.433,6,3
D_01_069,break,5.148,5.967,7,5
F_01_30,break_down,5.037,4.182,7,5
B_01_064,breakdown,4.333,3.741,7,5
F_01_73,breakfast,6.037,2.375,6,2
J_01_053,breakfast_2,4.679,1.680,0,2
J_01_047,breaktime,5.414,2.720,0,3
D_03_051,breathe,4.038,5.391,7,5
H_02_85,brick,4.679,3.913,6,5
A_03_016,bridesmaid,3.000,2.333,6,5
A_03_081,bridge,4.200,3.286,6,2
K_01_018,BRIDGE_2,0,0,0,2
F_03_28,bright,5.630,5.545,2,5
F_03_4,bring,6.185,5.030,7,5
J_02_096,broccoli_1,3.500,1.750,0,3
B_01_065,brother,5.480,1.074,6,2
D_03_045,brown,4.923,1.240,2,2
A_01_072,brush,3.733,6.622,6,2
E_02_52,bubbles,2.393,4.103,6,5
K_02_056,BUCKLE_1,0,0,0,1
K_03_073,BUCKLE_2,0,0,0,3
E_01_99,budget,4.286,1.577,6,1
F_03_33,buffalo,3.192,4.000,6,2
B_01_067,bug,4.360,2.963,6,2
A_03_088,building,5.360,2.857,6,5
E_01_98,bull,2.613,5.808,6,2
E_01_83,bulldozer,2.852,3.083,6,3
J_03_053,bullshit,5.172,1.636,0,2
K_01_123,BUMPY,0,0,0,3
K_03_121,BUN_HAIR,0,0,0,2
J_02_037,burn,2.893,3.625,0,5
F_03_9,burp,1.529,4.645,7,2
K_01_081,BURY,0,0,0,5
K_02_014,BURY_1,0,0,0,3
K_03_018,BURY_2,0,0,0,1
K_02_093,BURY_3,0,0,0,5
E_01_4,bus,5.200,1.115,6,2
D_01_022,business,5.185,1.444,6,1
G_01_22,busted,4.593,2.759,2,5
E_02_40,busy,5.656,2.367,2,1
D_03_030,but,5.654,2.250,5,5
A_01_034,butter,5.065,1.944,6,3
A_03_056,butterfly,3.720,6.571,6,5
F_02_25,buttons,3.000,6.200,6,2
D_03_074,buy,5.577,3.080,7,3
E_01_58,bye,6.057,6.960,6,2
B_01_073,cabbage,4.000,1.074,6,2
B_03_030,cabinet,2.900,3.233,6,1
A_02_054,cafeteria,4.519,1.767,6,2
D_01_033,cake,3.296,2.000,6,3
E_03_103,calculator,3.074,3.438,6,3
D_02_061,calendar,5.296,1.839,6,1
H_02_38,california,5.107,1.217,4,2
C_02_061,call,4.967,6.481,7,2
J_02_048,call_2,4.467,1.458,0,1
C_01_038,call_attention,4.500,1.700,7,3
