EntryID,Code
gallaudet,B_02_010
gamble,F_01_51
game,C_03_047
garage,A_03_022
garlic,G_02_28
gas,A_03_090
gate,E_03_64
gate_close,E_02_73
gay,D_03_011
generation,H_01_32
genius,H_02_24
germany,D_02_088
gesture,J_03_086
get,B_03_007
get_in_bed,J_03_010
get_information_out_of,E_01_57
get_off,H_01_93
get_through,F_03_47
get_together,J_02_073
ghost,E_01_32
gift,E_01_55
giraffe,A_03_049
girl,C_03_073
give,F_01_23
give_up,H_03_28
glass,E_01_90
GLASS_2,K_01_115
GLASS_3,K_02_059
glasses,B_03_036
glove,A_02_087
gloves,A_02_026
GLOVES_2,K_03_049
GLOVES_3,K_01_012
GLOVES_4,K_02_105
glow,D_03_093
GLUE_1,K_03_117
glue_2,F_01_96
go,C_03_056
go_ahead,J_01_041
go_back_and_forth,H_01_52
go_on,E_01_75
go_through(list),J_03_017
go_to_jail,F_03_99
goal,E_03_48
goat,A_02_024
goatee,G_01_74
god,D_02_068
going_through_a_hard_time,G_03_21
gold,D_02_009
golf,A_02_017
gone,G_03_51
good,B_01_052
goody_goody,G_03_83
goody_goody_shoe_opposite,J_01_072
goosebumps,G_03_96
gorilla,A_02_044
gossip,D_01_029
gotcha,H_02_72
government,B_02_062
grab,E_03_39
grade,F_02_76
graduate,B_03_081
graduate_school,H_02_52
grammar,J_03_078
grandfather,B_02_036
grandmother,C_02_027
grandparents,H_01_89
grapes,A_02_089
GRAPES_2,K_01_010
grasp,E_01_6
grass,A_03_031
gray,F_01_80
great,J_03_016
greece,C_02_048
green,B_02_085
green_beans,G_02_1
greet,J_01_042
GREET_2,K_02_095
grenade,E_02_10
grieve,E_03_100
grind,J_02_094
group,J_01_001
grow,B_02_042
grow_up,J_01_036
guess_1,C_01_057
guess_2,D_02_013
guide,E_03_57
guillotine_1,G_01_8
guillotine_2,F_01_93
guilty,D_03_085
guitar,A_02_077
gullible,C_02_058
gum,G_02_10
gun,D_02_046
GUN_2,K_03_105
GUN_3,K_01_069
gym,G_03_3
habit,E_03_67
had_enough,H_01_90
haha,G_02_103
hair,A_02_056
HAIR_2,K_02_053
hair_clipper,E_02_80
haircut,C_02_081
hairdresser,G_03_16
hairdryer,B_02_078
HAIRDRYER_2,K_03_056
HAIRDRYER_3,K_01_091
half,F_03_40
half_hour,J_02_024
hall,F_01_97
halloween_1,G_03_11
halloween_2,G_02_35
hamburger,A_01_004
hammer,C_02_021
hamster_1,E_03_73
hand_soap,G_01_89
handcuffs,G_01_88
hands,G_01_65
hands_off,H_02_27
handsome,J_03_018
handsome_1,F_01_3
handsome_2,G_01_98
handsome_3,E_03_41
hang,E_02_63
HANG_CLOTHES,K_02_069
hanukkah,G_02_30
happen,B_03_080
happy,C_03_078
hard,C_01_036
hard_of_hearing,J_01_050
harmonica,G_03_54
harp,F_02_73
hat,A_02_045
HAT_2,K_03_099
hatbrim,J_03_106
hatch,J_02_069
HATCH_2,K_01_007
hate,F_02_78
have,B_03_057
hawaii,J_03_054
he,F_02_44
head,E_03_44
head_back,H_03_100
head_grind,E_03_33
headache,B_01_027
headcold,J_02_025
headphones,C_01_054
health,B_02_083
heap,H_03_96
hear,E_01_97
hear_2(3),J_02_006
hearing,C_02_023
hearing_aid,B_01_015
heart,B_03_066
heart_touch,E_03_97
heartbody,H_02_63
heaven,A_02_075
heavy,F_01_85
helicopter,D_02_042
HELICOPTER_2,K_02_004
HELICOPTER_3,K_03_063
hell,G_03_8
hello,D_02_055
helmet,D_02_034
HELMET_2,K_01_066
help,D_01_042
hen,G_02_41
here,D_01_089
hide,G_02_25
high,C_02_045
high_heels_1,F_02_8
high_school,C_02_060
highlighter,G_01_20
hinge,G_03_41
hippo,C_01_069
HIPPO_2,K_02_060
HIPPO_3,K_03_074
his,F_02_58
history,A_02_036
hit,F_02_5
HIT_2,K_01_111
hitchhike,J_02_034
hockey,B_01_035
hoe,G_01_7
hold,F_02_80
HOLD_2,K_02_124
hold_accountable,E_03_93
hold_hands,H_02_75
hold_together,E_02_3
holiday,D_03_031
holy,G_01_72
home,B_03_063
homework,A_03_003
honest,B_01_028
honey,F_02_64
honey_2,J_03_052
hongkong,G_02_4
honk,H_01_74
honor,C_03_079
hood,H_03_104
HOODIE,K_02_122
HOODIE,K_02_044
hop,E_03_25
hope,D_02_085
horrible,D_03_049
horse,A_01_029
hose,E_02_54
hospital,B_02_026
hospital_2(head),J_02_022
hot,F_02_93
hot_competition,E_01_26
hotdog,B_03_067
hotel,B_01_053
hour,C_02_072
house,D_03_086
how,D_02_082
how_2,F_02_86
howl,J_02_019
hug,G_02_36
humble,A_01_009
HUMMINGBIRD,K_01_125
humor,H_03_63
hundred,H_03_27
hungry,C_01_010
hunt,B_01_025
hurdle_1,F_02_12
hurdle_2,G_01_36
hurricane,F_02_61
hurry,G_01_75
hurt,E_01_2
husband,D_01_082
hypocrite,F_03_24
I_love_you,F_01_102
ice,G_03_20
icecream,A_02_013
idea,D_01_085
identity,H_03_71
if,G_03_17
