SignFrequency(M),Iconicity(M),LexicalClass,SignType
3.800,1.633,5,3
4.519,4.323,6,3
4.714,4.040,3,2
0,0,0,2
0,0,0,2
0,0,0,2
2.920,3.000,3,4
5.067,1.667,0,3
2.550,1.480,0,3
5.333,6.900,4,3
4.607,5.500,0,3
2.640,2.095,3,3
2.667,4.433,3,2
2.263,5.581,3,4
3.111,1.452,2,3
2.526,1.233,3,3
4.630,1.969,5,3
2.667,3.519,3,4
4.630,3.034,6,4
4.344,2.536,3,4
3.840,1.667,3,4
4.630,3.424,5,4
2.571,1.259,3,3
4.645,2.139,3,3
6.320,1.033,2,3
6.462,2.250,3,4
3.933,4.630,6,4
1.696,3.227,0,3
0,0,0,4
2.731,2.250,3,3
4.889,2.600,1,2
4.929,3.500,0,6
4.241,4.567,1,3
5.593,5.935,5,3
0,0,0,4
5.300,1.519,3,3
4.667,2.296,5,3
5.500,2.571,0,6
5.852,2.667,6,2
5.969,1.700,6,3
3.966,1.792,0,2
5.552,3.800,6,3
3.261,1.000,3,3
4.900,2.833,3,3
0,0,0,2
4.200,1.067,2,3
3.593,5.636,5,3
5.833,1.583,3,4
4.280,2.000,3,2
3.696,1.774,3,3
6.080,3.857,3,2
3.759,5.875,3,6
4.000,5.267,5,6
4.692,1.250,6,3
4.750,2.560,0,4
4.071,3.167,0,3
2.926,1.033,2,4
4.241,2.909,0,4
5.760,4.533,5,4
4.172,2.273,0,2
3.152,1.920,5,6
4.107,3.560,0,2
5.333,6.188,5,2
4.833,4.833,0,4
3.800,1.269,3,4
5.143,1.920,3,4
2.636,4.762,3,6
4.552,1.528,3,3
5.667,4.909,5,3
3.857,5.000,0,4
5.657,5.080,3,2
0,0,0,3
0,0,0,3
3.750,5.200,3,4
3.846,6.367,3,6
2.885,6.267,3,6
0,0,0,2
0,0,0,2
0,0,0,6
2.696,2.760,3,4
0,0,0,2
3.385,3.438,5,4
6.033,5.583,5,4
6.067,2.880,0,4
3.731,4.741,0,4
5.886,5.520,5,4
4.517,3.227,0,2
3.926,2.563,5,4
5.000,4.000,3,4
2.037,3.200,3,3
2.250,5.067,3,3
4.519,2.448,2,3
4.000,2.650,5,4
3.231,1.032,3,3
3.333,5.567,3,1
5.308,2.190,6,2
6.440,1.630,6,3
4.038,2.050,6,3
1.714,1.320,0,3
3.769,3.409,3,3
2.593,6.800,3,4
4.222,3.162,3,4
4.393,2.792,0,3
4.480,1.300,3,3
3.967,6.400,5,4
4.077,1.484,3,2
4.240,1.267,5,2
4.214,1.375,0,3
3.966,1.227,0,4
4.360,1.267,3,3
4.500,1.333,3,3
4.429,1.778,0,4
4.333,2.133,3,2
0,0,0,2
2.406,6.308,5,3
4.880,1.762,3,3
4.037,1.781,6,4
4.621,1.773,0,4
2.429,1.037,2,3
5.400,1.067,6,3
3.148,2.031,3,3
3.133,6.200,0,4
0,0,0,3
1.786,6.069,3,6
4.200,2.000,5,4
4.172,5.375,0,6
4.867,2.560,0,4
4.840,5.467,5,2
5.500,5.600,0,3
4.897,2.233,5,3
4.815,1.806,5,3
5.000,3.200,5,1
2.150,4.867,3,3
2.148,5.424,5,3
3.538,1.708,6,3
2.630,6.967,3,3
3.433,1.423,6,3
5.037,3.452,3,3
3.407,6.710,3,3
0,0,0,3
0,0,0,3
4.000,2.800,3,4
5.100,1.548,3,4
4.500,5.542,0,3
5.556,2.667,1,3
5.444,6.900,3,3
0,0,0,3
2.194,4.133,5,3
3.000,1.185,3,4
4.444,4.000,3,4
3.200,4.067,3,3
0,0,0,3
0,0,0,3
5.000,3.788,3,3
4.933,2.625,0,6
3.556,3.485,3,4
3.407,2.200,3,4
3.815,2.656,3,4
4.429,3.640,3,4
2.500,5.968,3,3
3.067,1.406,3,3
3.593,6.333,5,2
2.889,5.667,3,3
4.815,4.379,3,6
4.786,3.000,0,4
2.167,1.909,0,3
4.346,2.394,6,3
2.158,1.935,6,3
3.067,1.633,6,3
2.565,5.750,5,3
0,0,0,4
3.667,3.548,3,4
5.208,1.867,5,4
5.700,3.250,6,3
5.793,2.233,6,4
4.367,1.520,0,3
1.750,6.143,3,4
1.667,6.548,3,3
4.407,5.033,3,3
0,0,0,4
3.345,5.136,0,3
1.824,3.292,0,4
0,0,0,4
5.407,4.000,5,4
6.125,3.533,5,4
3.793,1.227,0,3
6.407,3.226,1,3
4.367,5.207,3,3
4.154,2.250,0,3
3.276,3.167,5,3
5.480,4.926,3,4
4.600,4.292,0,3
1.630,6.500,3,4
4.720,1.733,5,4
4.286,4.792,0,3
5.029,6.360,5,3
3.533,6.625,0,3
5.857,1.000,5,3
4.708,5.370,3,3
3.480,5.400,3,4
5.067,4.125,5,3
4.080,5.208,0,3
3.333,2.667,3,4
4.222,5.094,6,4
2.481,4.903,3,2
0,0,0,0
0,0,0,0
3.333,1.700,3,3
6.519,5.167,1,3
2.360,6.323,3,4
0,0,0,0
6.148,1.472,5,2
1.962,1.833,3,3
5.704,1.943,7,4
4.889,2.839,5,3
4.400,3.731,6,3
2.565,3.097,3,2
5.033,1.000,3,3
5.000,3.967,3,2
1.273,4.950,3,6
1.692,3.333,3,4
0,0,0,0
0,0,0,0
5.778,2.387,1,3
4.778,1.200,3,3
4.111,6.323,5,3
0,0,0,0
2.464,6.250,0,3
3.000,1.630,3,2
1.842,4.129,3,6
3.875,5.968,5,4
0,0,0,0
3.852,2.875,5,3
3.222,6.522,0,4
3.781,4.621,5,4
3.846,1.360,3,4
2.385,1.968,3,2
6.480,1.100,7,3
5.440,1.143,3,3
4.833,1.630,6,2
4.346,1.355,3,3
2.118,1.227,0,3
2.667,1.500,3,3
2.792,5.852,0,3
3.667,1.778,3,4
3.250,5.417,0,4
0,0,0,0
0,0,0,0
3.467,6.125,5,3
4.741,1.258,5,3
3.923,2.640,6,4
3.516,1.769,3,3
2.844,5.133,3,3
4.480,1.400,3,3
2.964,1.792,0,3
6.296,2.226,6,3
5.171,2.346,6,4
3.680,2.467,3,4
4.080,1.148,3,2
