,Code,EntryID,SignFrequency(M),Iconicity(M),Neighborhood Density 2.0,SignType,LexicalClass
390,A_02_014,cereal,4.7410000000000005,1.467,10,4,5
391,B_01_080,certificate,4.583,1.846,9,5,5
392,E_02_055,chain,3.375,4.414,2,5,5
393,A_01_017,chair,5.714,1.979,6,3,5
394,B_03_051,challenge,4.48,3.276,7,5,5
395,J_03_030,champ,5.448,1.4780000000000002,2,1,5
396,G_01_081,champion,5.815,1.742,1,1,5
397,A_03_080,chance,4.208,1.381,7,5,5
398,E_01_031,change,6.371,3.2310000000000003,0,5,7
399,C_03_023,channel,2.9330000000000003,3.484,4,4,5
400,F_01_037,chaos,5.185,2.25,8,5,5
401,B_02_088,character,3.625,1.5,1,4,5
402,F_01_025,charge,5.296,3.469,14,1,7
403,E_02_056,charge_card,5.4060000000000015,3.4330000000000003,1,1,7
404,F_03_017,chase,4.815,3.333,0,0,7
405,C_01_079,chat,5.5,1.867,10,5,7
406,F_02_056,cheap,5.926,2.194,2,0,1
407,A_02_008,cheat_1,4.037,1.533,1,1,7
408,D_01_027,cheat_2,2.56,1.3330000000000002,1,4,7
409,B_03_040,check,5.0,6.0,0,1,7
410,G_03_052,cheek,3.692,6.1,9,4,5
411,J_03_060,cheer,3.4810000000000003,5.783,4,5,7
412,H_02_045,cheerleader_1,2.32,3.609,6,5,5
413,K_01_016,cheerleader_2,4.407,1.56,4,5,7
414,A_02_021,cheese,5.63,1.7,0,0,5
415,F_03_064,cheese_grater,1.2,5.1560000000000015,0,1,5
416,J_02_033,cherish,5.067,3.04,5,5,7
417,C_01_083,cherry,3.69,2.2,2,1,5
418,K_02_113,cherry_2,4.96,1.5830000000000002,1,1,5
419,G_02_091,chew_1,3.0,3.563,47,4,7
420,J_02_027,chew_2,2.353,4.0,0,4,7
421,K_01_100,chew_2_mouth,2.957,4.28,2,4,7
422,K_02_041,chew_3,3.095,2.75,0,1,7
423,K_03_094,chew_4,3.542,2.615,2,5,7
424,D_01_043,chicago,3.259,1.118,8,4,6
425,F_03_101,child,4.815,3.938,7,4,5
426,C_02_066,children,5.4670000000000005,2.037,10,5,5
427,E_02_064,chimney,2.696,3.633,0,0,5
428,F_02_070,chin_2,5.08,6.806,2,4,5
429,D_03_061,china,3.0380000000000003,1.083,2,4,6
430,B_01_002,chocolate,5.56,1.529,2,1,5
431,G_01_079,choke,3.731,5.8,8,4,7
432,F_02_099,chop,5.185,5.742000000000001,4,0,7
433,G_01_063,chopsticks,4.704,3.633,1,4,5
434,F_03_029,christmas_1,4.0,1.531,14,4,5
435,J_03_061,christmas_3,3.69,1.1740000000000002,6,4,5
436,C_02_018,church,3.267,1.769,6,1,5
437,E_01_046,churn,2.516,5.417000000000002,16,5,7
438,B_02_055,cigar,2.25,3.633,1,4,5
439,C_01_059,cigarette,3.367,1.586,0,1,5
440,E_02_062,circle,3.656,6.6,4,4,5
441,H_02_065,circuswheel,2.778,3.583,2,5,5
442,B_01_029,city,4.5,3.148,24,5,5
443,K_02_076,city_2,6.082999999999998,1.375,4,5,5
444,G_01_096,clap,3.222,6.767,24,5,7
